"symbol","date","open","high","low","close","volume","adjusted"
"BTC-USD",2020-01-01,7194.89209,7254.330566,7174.944336,7200.174316,18565664997,7200.174316
"BTC-USD",2020-01-02,7202.55127,7212.155273,6935.27002,6985.470215,20802083465,6985.470215
"BTC-USD",2020-01-03,6984.428711,7413.715332,6914.996094,7344.884277,28111481032,7344.884277
"BTC-USD",2020-01-04,7345.375488,7427.385742,7309.51416,7410.656738,18444271275,7410.656738
"BTC-USD",2020-01-05,7410.45166,7544.49707,7400.535645,7411.317383,19725074095,7411.317383
"BTC-USD",2020-01-06,7410.452148,7781.867188,7409.292969,7769.219238,23276261598,7769.219238
"BTC-USD",2020-01-07,7768.682129,8178.21582,7768.227539,8163.692383,28767291327,8163.692383
"BTC-USD",2020-01-08,8161.935547,8396.738281,7956.774414,8079.862793,31672559265,8079.862793
"BTC-USD",2020-01-09,8082.295898,8082.295898,7842.403809,7879.071289,24045990466,7879.071289
"BTC-USD",2020-01-10,7878.307617,8166.554199,7726.774902,8166.554199,28714583844,8166.554199
"BTC-USD",2020-01-11,8162.190918,8218.359375,8029.64209,8037.537598,25521165085,8037.537598
"BTC-USD",2020-01-12,8033.261719,8200.063477,8009.059082,8192.494141,22903438381,8192.494141
"BTC-USD",2020-01-13,8189.771973,8197.788086,8079.700684,8144.194336,22482910688,8144.194336
"BTC-USD",2020-01-14,8140.933105,8879.511719,8140.933105,8827.764648,44841784107,8827.764648
"BTC-USD",2020-01-15,8825.34375,8890.117188,8657.1875,8807.010742,40102834650,8807.010742
"BTC-USD",2020-01-16,8812.481445,8846.460938,8612.095703,8723.786133,31313981931,8723.786133
"BTC-USD",2020-01-17,8725.209961,8958.12207,8677.316406,8929.038086,36372139320,8929.038086
"BTC-USD",2020-01-18,8927.211914,9012.198242,8827.332031,8942.808594,32337772627,8942.808594
"BTC-USD",2020-01-19,8941.445313,9164.362305,8620.080078,8706.245117,34217320471,8706.245117
"BTC-USD",2020-01-20,8704.631836,8745.59082,8560.473633,8657.642578,26422375678,8657.642578
"BTC-USD",2020-01-21,8658.991211,8755.706055,8544.520508,8745.894531,24097418512,8745.894531
"BTC-USD",2020-01-22,8744.210938,8792.994141,8636.74707,8680.875977,22600204051,8680.875977
"BTC-USD",2020-01-23,8680.650391,8687.74707,8333.637695,8406.515625,25770680779,8406.515625
"BTC-USD",2020-01-24,8405.567383,8514.666992,8266.84082,8445.43457,24397913026,8445.43457
"BTC-USD",2020-01-25,8440.119141,8458.453125,8296.21875,8367.847656,19647331549,8367.847656
"BTC-USD",2020-01-26,8364.410156,8602.401367,8325.498047,8596.830078,22177678796,8596.830078
